date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Nov%202022%2006:41:20%20GMT	http://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.0b4e2.delayed	(from )
12:11:19	103408/103408	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Nov%202022%2006:41:22%20GMT	https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09b4e2.html	(from )
12:11:20	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-632d9f53-79388fff41316e3c;gz%22	https://crsgov.click/robots.txt		(from )
12:11:20	7942/7942	---M-Z	200	added ('OK')	text/css	etag:%221f06-6344d2f1-b9a903e1ed150abd;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/css/style.css	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/css/style.css	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:20	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%22442-6344d2f1-952e20b65f304917;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/css/default.css	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/css/default.css	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:21	4068/4068	---M-Z	200	added ('OK')	text/css	etag:%22fe4-6344d2f1-d573b683a5240f87;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/css/main.css	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/css/main.css	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:21	59/59	---M--	200	added ('OK')	text/css	etag:%223b-6344d2f1-a7eaea26f1d5aa7d;;;%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/css/jquery.ui.all.css	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/css/jquery.ui.all.css	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:21	14845/14845	---M-Z	200	added ('OK')	text/css	etag:%2239fd-6344d2f1-6c400a293f2c1616;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/css/jquery-ui-1.10.0.custom.css	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:22	24752/24752	---M-Z	200	added ('OK')	application/x-javascript	etag:%2260b0-6344d2f1-9f1c996850705411;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/js/mm_menu.js	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/js/mm_menu.js	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
12:11:23	143880/143880	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223208-6344d2f1-c9e766d0afe6d298;gz%22	https://crsgov.click//web/index.php/auth/birthCertificate/view/js/jquery-1.9.0.js	C:/My%20Web%20Sites/ttt/crsgov.click/web/index.php/auth/birthCertificate/view/js/jquery-1.9.0.js	(from https://crsgov.click//web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=8751&cont=Anjsjdn)
